x1,x2,y
1.8235186325,-4.4617898120,-0.2401073104
-2.7964012723,-3.1562818930,0.3383402696
-3.2409409891,3.1209450666,-0.0991638450
4.2334499803,-2.2342560220,0.5465539747
3.1975456159,3.8989269311,0.0406381216
0.1297045523,-2.5503539893,-0.1073856326
3.2424159610,-2.8623703662,0.0967543100
2.4146705223,1.2994020459,0.1781553515
4.2740725853,-2.6809181139,0.8110750734
2.9912512862,0.1816503685,0.1473113823
-2.6844437518,-3.3409600676,0.4326485133
-0.0221103150,0.8272464062,-0.0149653670
-3.1566201257,-4.8510508324,0.0020769880
-0.2886677111,2.2824332818,0.1859141318
4.1860049177,1.2553400574,-0.2682514956
4.1712257255,3.6469025109,0.7499922935
-2.8185712675,3.6612743074,0.2755247536
2.3075193637,-2.2213470970,-0.4485706482
2.9704355318,3.6522171284,-0.1485962284
-2.0056210436,0.2704208403,-0.8739842471
-4.2851319338,0.8323841015,0.6126054379
-2.6209360037,2.6496364610,0.4384575690
-3.2636836382,-1.8725774375,-0.0361979551
-4.8552552321,-4.6744807839,-0.0375130003
-0.0329815820,-0.3168746557,-0.0313338765
-3.7230967711,-2.4243749509,-0.4139590588
-4.9681889071,-1.1893225218,0.3601749110
0.7587308404,-0.7270122872,0.5140491958
3.3510234731,1.1649125141,-0.0820866079
-2.3391608799,3.1102211132,0.7186943961
-0.0051324970,2.5881032100,0.0043661726
0.6608908633,-0.6255963844,0.4975714164
-1.0384555558,-4.7776471208,-0.0561879080
-0.3064921183,1.2355840216,-0.0992554422
4.4611342101,-0.6467391983,-0.7729950695
-0.1435859692,0.1911514398,-0.1404868141
-0.9140902001,0.7879571885,-0.5585988810
-4.2964932672,-0.1161616880,0.9085901083
1.1014482830,2.4387910732,-0.6805223891
-0.7016967957,-1.9719786728,0.2520779999
-4.9410996668,2.5647897015,-0.8163830291
-4.2242402980,-0.1001196234,0.8787797359
-1.9563890322,3.4082216218,0.8938347322
4.5047586225,-1.8112542127,0.2330324686
3.9776828893,-1.6247094939,0.0399856923
3.1211211051,2.9884359806,-0.0202305041
1.5528517701,-2.7129654522,-0.9093907379
-3.6232553526,-0.7562886107,0.3369648611
-3.4846124698,3.7327294879,-0.2792594592
-3.2087324251,-4.6970533839,-0.0010288147
0.5924967713,-0.7119374665,0.4227889781
3.5859742156,-3.3916862447,0.4165250961
-1.3964630061,1.4050993683,-0.1624396915
4.3107934961,-2.3819897791,0.6674187471
1.8809841358,-3.5094734764,-0.8885609591
2.4015497342,-2.0681871698,-0.3217409177
-2.5625489543,-2.7017856216,0.4951465905
-1.2934883483,-1.7144491252,0.1376899668
1.1264167182,0.4471540019,0.8141078564
2.4964310489,-2.0504571457,-0.2774996225
4.6055372838,0.4348275860,-0.9017701984
1.7942414841,1.8825924849,-0.2991423616
-3.4770220725,-3.5497554845,-0.3021335092
-0.3795617795,0.2193353341,-0.3616368172
-2.2795524684,-3.1987905306,0.7579305640
0.0392108719,1.5963834841,-0.0010029282
-2.7124554658,-2.8158176914,0.3942014810
4.5489905896,2.2489293416,0.6189841398
-4.6566315174,4.8161703419,0.1034341729
-4.9150383371,-2.3503811835,-0.6885989158
4.1732415153,-4.1961228361,0.4236124163
3.5471570422,-3.5532260263,0.3615811340
-3.2075892227,2.8467347330,-0.0631025533
3.9542405661,-0.3926567393,-0.6708502693
-4.6151631780,-1.8469473979,-0.2713669091
-4.8470675031,-1.5082631487,0.0619265339
1.5931001889,-2.3478386781,-0.7009993172
1.5201883844,4.2748019662,-0.4232125369
-0.3386124142,-2.9289043933,0.3246936333
4.2271424464,4.4585661094,0.2221184698
-3.6509434608,3.9963853377,-0.3200553503
-2.0785083316,-3.7182455678,0.7325493643
-3.8192330977,2.5945007709,-0.5354465672
-4.1155748558,2.6315174361,-0.7218430560
-2.6038144601,-0.8121621008,-0.3523781689
-3.5698229429,1.5266979712,0.0183064166
-0.4221407315,-1.0616984866,-0.1996904761
3.0467313752,-0.4098488959,0.0868745370
1.9156833732,2.8198907709,-0.8928332826
1.1488125824,4.6139089477,-0.0896960444
0.5087804742,-2.8098747273,-0.4605572514
0.4187984293,-2.5544301917,-0.3385534803
-4.1667298279,2.5636209174,-0.7159447055
-2.3550245150,-1.8635956296,0.2043333624
4.8834285812,-0.9944216840,-0.5370355951
-0.5868790417,4.2059872994,0.2685946692
2.9006637828,3.5948208766,-0.2145148153
-0.3164328607,-2.8749642627,0.3001829350
-4.3436118350,-4.2018598092,-0.4557872479
-3.6301044698,-2.3065107583,-0.3149634456
2.7737395034,-2.7047399120,-0.3258409541
-0.7820641853,-0.4186346503,-0.6438869666
-1.9031400786,-3.2298909733,0.9415976801
-2.3196921262,3.5235438122,0.6796607565
4.9407227471,-1.2932575464,-0.2668780239
-0.3824909124,-1.6501144634,0.0295730775
-1.3456129500,1.8717349447,0.2889331909
