x1,x2,y
1.0941111795,-2.6770738872,0.3107255648
-1.6778407634,-1.8937691358,-0.5308674892
-1.9445645935,1.8725670399,0.8964367685
2.5400699882,-1.3405536132,-0.8547240850
1.9185273696,2.3393561587,-1.9019782934
0.0778227314,-1.5302123936,0.0524449730
1.9454495766,-1.7174222197,0.0844543374
1.4488023134,0.7796412275,0.5548711330
2.5644435512,-1.6085508684,-1.7739271610
1.7947507717,0.1089902211,1.2965140123
-1.6106662511,-2.0045760406,1.5999064965
-0.0132661890,0.4963478437,-0.0032579509
-1.8939720754,-2.9106304994,-0.6685710590
-0.1732006267,1.3694599691,-0.1424963999
2.5116029506,0.7532040344,1.8311255508
2.5027354353,2.1881415066,-2.4849070676
-1.6911427605,2.1967645844,-1.5310064362
1.3845116182,-1.3328082582,1.1982246255
1.7822613191,2.1913302771,-1.6138927066
-1.2033726262,0.1622525042,-1.1218433130
-2.5710791603,0.4994304609,0.9547773491
-1.5725616022,1.5897818766,-1.3378707248
-1.9582101829,-1.1235464625,-1.8472064856
-2.9131531393,-2.8046884704,2.9089215199
-0.0197889492,-0.1901247934,-0.0007926017
-2.2338580626,-1.4546249705,-2.1974170068
-2.9809133442,-0.7135935131,-2.9390793844
0.4552385042,-0.4362073723,0.3505492377
2.0106140839,0.6989475085,-0.1476733108
-1.4034965279,1.8661326679,1.3026115872
-0.0030794982,1.5528619260,-0.0020538938
0.3965345180,-0.3753578307,0.3925156326
-0.6230733335,-2.8665882725,0.2804237084
-0.1838952710,0.7413504129,-0.1426419479
2.6766805261,-0.3880435190,1.1879879459
-0.0861515815,0.1146908639,-0.0075179153
-0.5484541200,0.4727743131,0.0492626420
-2.5778959603,-0.0696970128,1.2061397549
0.6608689698,1.4632746439,0.1477438258
-0.4210180774,-1.1831872037,0.0130080282
-2.9646598001,1.5388738209,-2.2194013373
-2.5345441788,-0.0600717740,-2.5022120009
-1.1738334193,2.0449329731,0.9113810262
2.7028551735,-1.0867525276,-2.4811397665
2.3866097336,-0.9748256963,2.3341190047
1.8726726631,1.7930615884,1.0340684648
0.9317110621,-1.6277792713,-0.8799340417
-2.1739532115,-0.4537731664,0.7306104166
-2.0907674819,2.2396376927,2.0895321562
-1.9252394551,-2.8182320303,-1.6461330314
0.3554980628,-0.4271624799,0.3527447074
2.1515845294,-2.0350117468,0.3617837980
-0.8378778036,0.8430596210,-0.8315641040
2.5864760977,-1.4291938675,-0.4474156400
1.1285904815,-2.1056840859,-1.1220526705
1.4409298405,-1.2409123019,-0.4416298324
-1.5375293726,-1.6210713729,-1.3938857948
-0.7760930090,-1.0286694751,-0.5557495841
0.6758500309,0.2682924011,-0.6740659870
1.4978586293,-1.2302742874,-1.3868393394
2.7633223703,0.2608965516,2.3680662037
1.0765448905,1.1295554910,0.3171265545
-2.0862132435,-2.1298532907,1.6788652604
-0.2277370677,0.1316012005,-0.1162978449
-1.3677314810,-1.9192743183,0.5318125817
0.0235265232,0.9578300905,0.0187600373
-1.6274732795,-1.6894906148,1.4250634340
2.7293943538,1.3493576050,2.1689908055
-2.7939789104,2.8897022051,2.7934333316
-2.9490230022,-1.4102287101,-2.4679122929
2.5039449092,-2.5176737017,-0.1974971918
2.1282942253,-2.1319356158,-0.8755421374
-1.9245535336,1.7080408398,-1.4885116026
2.3725443397,-0.2355940436,-0.4794797769
-2.7690979068,-1.1081684387,-1.6375395119
-2.9082405018,-0.9049578892,1.5805657108
0.9558601133,-1.4087032068,-0.9483357687
0.9121130306,2.5648811797,0.6605349080
-0.2031674485,-1.7573426360,0.0714623792
2.5362854678,2.6751396657,1.7707236823
-2.1905660765,2.3978312026,0.7063482846
-1.2471049990,-2.2309473407,-1.2396382909
-2.2915398586,1.5567004625,2.2894210779
-2.4693449135,1.5789104616,-1.4702177440
-1.5622886761,-0.4872972605,0.7322515890
-2.1418937657,0.9160187827,-0.8492788810
-0.2532844389,-0.6370190920,-0.2193666936
1.8280388251,-0.2459093375,1.6120706974
1.1494100239,1.6919344626,-0.4114758481
0.6892875494,2.7683453686,-0.1040016630
0.3052682845,-1.6859248364,-0.1804970779
0.2512790576,-1.5326581150,0.0403161289
-2.5000378967,1.5381725505,-2.2343408189
-1.4130147090,-1.1181573777,-0.9884738443
2.9300571487,-0.5966530104,-2.8798142822
-0.3521274250,2.5235923796,-0.3415669934
1.7403982697,2.1568925259,-0.6528603380
-0.1898597164,-1.7249785576,0.0366814442
